iter	F1	Logloss
0	0.9150349226	0.6489566574
1	0.9273481599	0.6129841196
2	0.9293320429	0.5786276223
3	0.9298423754	0.5463185009
4	0.9297258126	0.520609596
5	0.9297876969	0.4978327792
6	0.9298999955	0.4774651871
7	0.9300157027	0.4602726651
8	0.9276228583	0.4456502769
9	0.9271526375	0.4260183585
10	0.92734198	0.4104370323
11	0.9297987002	0.3956436018
12	0.929773651	0.3854186325
13	0.930044735	0.3742583296
14	0.9302404338	0.3649108883
15	0.9329583206	0.3558927492
16	0.9352031892	0.347099167
17	0.935278386	0.340948016
18	0.9333783918	0.3326052201
19	0.9355978133	0.3252956996
20	0.9355423876	0.3179850679
21	0.9356711007	0.3142789811
22	0.9363834426	0.3092582591
23	0.9362093595	0.3035730906
24	0.9385328451	0.3003277255
25	0.9390341616	0.2968520548
26	0.9392379989	0.2935675289
27	0.9412619247	0.2907480303
28	0.9438213162	0.2837726213
29	0.9438213162	0.2793931584
30	0.9439817404	0.2759152666
31	0.9443837549	0.2735946437
32	0.9440209743	0.2711869275
33	0.9444727709	0.2684900645
34	0.9447480271	0.2660458131
35	0.9468533174	0.2636843532
36	0.9470198679	0.2617567712
37	0.9492849127	0.260365366
38	0.9493775937	0.2573090534
39	0.9494643863	0.25405217
40	0.949747395	0.2510780309
41	0.9498755433	0.248230257
42	0.9497010376	0.2465146568
43	0.9497645598	0.2422969674
44	0.9498804357	0.2402526889
45	0.9499267939	0.2391900743
46	0.9500939555	0.2376525314
47	0.9501403298	0.2354907168
48	0.9502098998	0.233515295
49	0.9524694834	0.231423339
50	0.9525975935	0.2282688791
51	0.9525975935	0.2250202578
52	0.953537332	0.2231814215
53	0.9532810973	0.2211891443
54	0.9533625484	0.2201481817
55	0.9532810973	0.218797322
56	0.9535259553	0.2172479767
57	0.9533978208	0.2150909349
58	0.9560415289	0.2135329915
59	0.9559133981	0.2126477056
60	0.9559711386	0.2115216263
61	0.9562165615	0.2103387308
62	0.9610613798	0.2090058296
63	0.9610613798	0.2079926068
64	0.9611798948	0.2064698591
65	0.9611420685	0.2045068683
66	0.9611324853	0.2033671683
67	0.9611324853	0.2026332644
68	0.9613221513	0.2017273102
69	0.9613221513	0.2008134381
70	0.9614407306	0.2001561502
71	0.9615688213	0.1986879664
72	0.9616968803	0.1973893759
73	0.9616968803	0.1952420342
74	0.9616968803	0.1941601858
75	0.9617917667	0.1921742957
76	0.9617917667	0.1904357719
77	0.9617917667	0.188382544
78	0.9619197951	0.1874598685
79	0.962047792	0.1863795726
80	0.96187611	0.1853120075
81	0.9617006588	0.1832232229
82	0.9619890978	0.1822940273
83	0.9622450744	0.1811839162
84	0.9621171019	0.1797546683
85	0.9622450744	0.1781872674
86	0.9623018322	0.1773265224
87	0.9626725842	0.1758462638
88	0.9628899029	0.1749290411
89	0.9652700535	0.17393647
90	0.9651507665	0.172988058
91	0.9654575579	0.172154313
92	0.9658411195	0.1714829368
93	0.9658411195	0.1708534255
94	0.9658888673	0.1695291058
95	0.9658888673	0.1678480907
96	0.9658888673	0.166217908
97	0.9658888673	0.1652363119
98	0.9660166584	0.1643435974
99	0.966067766	0.1637624465
100	0.9660593779	0.1631125639
101	0.9660082573	0.1617640008
102	0.9685702958	0.160834432
103	0.9685702958	0.1589584193
104	0.9687623962	0.1582260912
105	0.9687623962	0.1567289496
106	0.9686105329	0.1556568821
107	0.9686585672	0.15503808
108	0.9687786736	0.154485371
109	0.9687097098	0.1541213135
110	0.9686585672	0.1527802294
111	0.9686585672	0.1518799869
112	0.9689065215	0.1511833904
113	0.9692235204	0.1505588473
114	0.9694024303	0.149965543
115	0.9694024303	0.149261764
116	0.969522629	0.1487306981
117	0.9718120809	0.1473111246
118	0.9718120809	0.1465874397
119	0.9718603961	0.1461582693
120	0.9721573115	0.1453037295
121	0.9722712694	0.1446412161
122	0.9724232255	0.1437530474
123	0.9725925192	0.1432953152
124	0.9727134794	0.1424937337
125	0.9728896188	0.1421568309
126	0.972841226	0.1409122484
127	0.972841226	0.1403340248
128	0.9728896188	0.1398825699
129	0.9728102693	0.1393645242
130	0.9729796978	0.1386139678
131	0.9731558655	0.1382641704
132	0.9731558655	0.1374772905
133	0.9757046648	0.1367030461
