iter	Passed	Remaining
0	2	1155
1	3	971
2	5	936
3	7	915
4	9	919
5	10	899
6	12	884
7	14	877
8	16	873
9	17	870
10	19	865
11	21	857
12	22	850
13	24	846
14	26	842
15	27	841
16	29	838
17	31	835
18	32	832
19	34	830
20	36	826
21	37	822
22	39	817
23	40	812
24	42	810
25	44	806
26	45	803
27	47	799
28	49	796
29	50	793
30	52	789
31	53	787
32	55	784
33	57	782
34	58	781
35	60	778
36	62	776
37	63	773
38	65	770
39	66	768
40	68	765
41	70	764
42	71	761
43	73	762
44	75	760
45	76	758
46	78	756
47	80	754
48	81	753
49	83	750
50	84	747
51	86	745
52	88	744
53	89	742
54	91	739
55	93	737
56	94	735
57	96	732
58	97	732
59	99	730
60	101	729
61	102	727
62	104	725
63	106	723
64	107	720
65	109	719
66	110	716
67	112	714
68	114	712
69	115	710
70	117	709
71	119	707
72	120	705
73	122	704
74	123	701
75	125	700
76	127	697
77	128	695
78	130	693
79	131	692
80	133	691
81	135	689
82	136	687
83	138	686
84	140	685
85	142	683
86	143	682
87	145	680
88	147	680
89	148	678
90	150	676
91	151	674
92	153	672
93	155	670
94	156	668
95	158	667
96	160	665
97	161	663
98	163	661
99	164	659
100	166	658
101	168	656
102	169	654
103	171	652
104	173	651
105	174	649
106	176	648
107	178	646
108	179	645
109	181	643
110	183	641
111	184	639
112	186	638
113	187	636
114	189	634
115	191	632
116	192	631
117	194	630
118	196	628
119	198	627
120	199	625
121	201	624
122	203	622
123	205	621
124	206	620
125	208	619
126	210	617
127	211	615
128	213	614
129	215	612
130	217	611
131	218	610
132	220	608
133	222	607
134	223	605
135	225	604
136	227	603
137	229	601
138	230	599
139	232	598
140	234	596
141	235	594
142	237	593
143	239	591
144	241	590
145	242	588
146	244	586
147	246	585
148	247	583
149	249	581
150	250	579
151	252	578
152	254	576
153	255	574
154	257	573
155	259	571
156	261	570
157	262	568
158	264	566
159	265	564
160	267	563
161	269	561
162	270	559
163	272	557
164	273	556
165	275	554
166	277	552
167	278	550
168	280	549
169	282	547
170	283	545
171	285	544
172	286	542
173	288	540
174	290	538
175	291	537
176	293	535
177	294	533
178	296	532
179	298	530
180	299	528
181	301	526
182	303	525
183	304	523
184	306	521
185	307	519
186	309	518
187	311	516
188	312	514
189	314	513
190	316	511
191	317	509
192	319	507
193	321	506
194	322	504
195	324	502
196	325	501
197	327	499
198	329	498
199	330	496
200	332	494
201	334	493
202	335	491
203	337	489
204	339	487
205	340	486
206	342	484
207	344	483
208	345	481
209	347	479
210	349	478
211	350	476
212	352	474
213	353	472
214	355	471
215	357	469
216	358	467
217	360	466
218	362	464
219	363	462
220	365	461
221	367	459
222	368	458
223	370	456
224	372	454
225	373	453
226	375	451
227	376	449
228	378	447
229	380	446
230	381	444
231	383	442
232	385	441
233	386	439
234	388	438
235	390	436
236	391	434
237	393	433
238	395	431
239	396	429
240	398	428
241	400	426
242	401	424
243	403	423
244	405	421
245	406	419
246	408	418
247	409	416
248	411	414
249	413	413
250	414	411
251	416	409
252	418	408
253	419	406
254	421	404
255	422	403
256	424	401
257	426	399
258	427	397
259	429	396
260	431	395
261	433	393
262	434	391
263	436	390
264	438	388
265	439	386
266	441	385
267	443	383
268	445	382
269	446	380
270	448	378
271	449	377
272	451	375
273	453	373
274	454	372
275	456	370
276	457	368
277	459	367
278	461	365
279	462	363
280	464	362
281	465	360
282	467	358
283	468	356
284	470	354
285	471	353
286	473	351
287	475	349
288	476	348
289	478	346
290	479	344
291	481	342
292	482	341
293	484	339
294	486	337
295	487	336
296	489	334
297	491	333
298	493	331
299	494	329
300	496	328
301	498	326
302	500	325
303	502	323
304	504	322
305	506	320
306	507	319
307	509	317
308	511	316
309	513	314
310	514	312
311	516	311
312	518	309
313	520	308
314	522	306
315	523	304
316	525	303
317	527	301
318	529	300
319	530	298
320	532	296
321	534	295
322	535	293
323	538	292
324	539	290
325	541	289
326	543	287
327	545	285
328	546	284
329	548	282
330	549	280
331	551	279
332	553	277
333	554	275
334	556	274
335	558	272
336	559	270
337	561	269
338	563	267
339	564	265
340	566	264
341	568	262
342	570	260
343	571	259
344	573	257
345	575	256
346	577	254
347	578	252
348	580	251
349	581	249
350	583	247
351	585	245
352	586	244
353	588	242
354	589	240
355	591	239
356	593	237
357	594	235
358	596	234
359	598	232
360	599	230
361	601	229
362	603	227
363	604	225
364	606	224
365	607	222
366	609	220
367	610	219
368	612	217
369	613	215
370	615	214
371	616	212
372	618	210
373	619	208
374	621	207
375	623	205
376	624	203
377	626	202
378	627	200
379	629	198
380	630	197
381	632	195
382	634	193
383	635	191
384	637	190
385	638	188
386	640	186
387	641	185
388	643	183
389	644	181
390	646	180
391	647	178
392	649	176
393	650	174
394	652	173
395	653	171
396	655	169
397	656	168
398	658	166
399	660	165
400	661	163
401	663	161
402	665	160
403	666	158
404	668	156
405	669	155
406	671	153
407	673	151
408	674	150
409	676	148
410	678	146
411	679	145
412	681	143
413	682	141
414	684	140
415	685	138
416	687	136
417	689	135
418	690	133
419	692	131
420	693	130
421	695	128
422	697	126
423	698	125
424	700	123
425	701	121
426	703	120
427	704	118
428	706	116
429	708	115
430	709	113
431	711	111
432	712	110
433	713	108
434	715	106
435	717	105
436	718	103
437	720	101
438	722	100
439	723	98
440	725	97
441	726	95
442	728	93
443	729	92
444	731	90
445	733	88
446	734	87
447	735	85
448	737	83
449	738	82
450	740	80
451	741	78
452	743	77
453	744	75
454	746	73
455	748	72
456	749	70
457	751	68
458	753	67
459	754	65
460	756	63
461	757	62
462	759	60
463	761	59
464	762	57
465	764	55
466	765	54
467	767	52
468	769	50
469	770	49
470	772	47
471	773	45
472	775	44
473	776	42
474	778	40
475	780	39
