news_id,published_at_reference,topic_reference,title_reference,text_reference,cluster_id_reference,novelty_label_reference,comment_reference,needs_review_reference,published_at_candidate,topic_candidate,title_candidate,text_candidate,cluster_id_candidate,novelty_label_candidate,comment_candidate,needs_review_candidate
88579,2004-03-01,Мир,На Гаити высадились французские миротворцы,"На Гаити высадился передовой отряд французских солдат из состава миротворческой миссии ООН, сообщается на сайте BBC News. Около 50 военнослужащих присоединились к 100 американским морским пехотинцам, которые прибыли на остров вскоре после того, как Совет безопасности ООН одобрил резолюцию об отправке на Гаити международного контингента. Американцы и французы заняли аэропорт столицы Гаити Порт-о-Пренса, чтобы обеспечить безопасный прием новых подразделений миротворцев. В аэропорту также находится канадский спецназ, прибывший на Гаити еще раньше миротворцев для эвакуации граждан Канады. По сведениям агентства AFP, всего французское правительство намерено отправить на Гаити 200 солдат и около 100 полицейских из специальных сил по борьбе с участниками массовых беспорядков. Число американских миротворцев, которые высадятся на острове, пока не определено. Госсекретарь США Колин Пауэлл заявил лишь, что операция будет далеко не столь масштабной, как в 1994 году, когда на Гаити отправили 20 тысяч американских солдат. Мятеж на Гаити начался в начале февраля, когда противники президента Жан-Бертрана Аристида захватили контроль над городом Гонаив. Вскоре жители еще 10 городов на севере и западе страны присоединились к мятежникам и двинулись к столице Гаити. В результате столкновений между сторонниками и противниками правительственного режима погибли около 100 человек. В воскресенье Аристид бежал из Гаити, отправившись в Центрально-Африканскую Республику. Ожидается, что через несколько дней он вылетит в ЮАР, где ему предоставят политическое убежище.",prelim_0013,,,False,2004-03-01,Мир,На Гаити высадились французские миротворцы,"На Гаити высадился передовой отряд французских солдат из состава миротворческой миссии ООН, сообщается на сайте BBC News. Около 50 военнослужащих присоединились к 100 американским морским пехотинцам, которые прибыли на остров вскоре после того, как Совет безопасности ООН одобрил резолюцию об отправке на Гаити международного контингента. Американцы и французы заняли аэропорт столицы Гаити Порт-о-Пренса, чтобы обеспечить безопасный прием новых подразделений миротворцев. В аэропорту также находится канадский спецназ, прибывший на Гаити еще раньше миротворцев для эвакуации граждан Канады. По сведениям агентства AFP, всего французское правительство намерено отправить на Гаити 200 солдат и около 100 полицейских из специальных сил по борьбе с участниками массовых беспорядков. Число американских миротворцев, которые высадятся на острове, пока не определено. Госсекретарь США Колин Пауэлл заявил лишь, что операция будет далеко не столь масштабной, как в 1994 году, когда на Гаити отправили 20 тысяч американских солдат. Мятеж на Гаити начался в начале февраля, когда противники президента Жан-Бертрана Аристида захватили контроль над городом Гонаив. Вскоре жители еще 10 городов на севере и западе страны присоединились к мятежникам и двинулись к столице Гаити. В результате столкновений между сторонниками и противниками правительственного режима погибли около 100 человек. В воскресенье Аристид бежал из Гаити, отправившись в Центрально-Африканскую Республику. Ожидается, что через несколько дней он вылетит в ЮАР, где ему предоставят политическое убежище.",baseline_мир_0002,,story_start; singleton_cluster,False
88596,2004-03-01,Мир,Изгнанный президент Гаити прилетел в Центрально-Африканскую Республику,"Президент Гаити Жан-Бертран Аристид, бежавший из страны в результате вооруженного мятежа, прибыл в Центрально-Африканскую Республику. Через несколько дней он отправится в ЮАР, где ему предоставят политическое убежище, сообщается на сайте газеты Melbourne Herald Sun со ссылкой на агентство AFP. Аристид бежал из Гаити в воскресенье, когда вооруженные формирования повстанцев подошли к столице страны Порт-о-Пренсу. После этого Совет безопасности ООН одобрил резолюцию об отправке на Гаити международного миротворческого контингента. В воскресенье вечером в Порт-о-Пренс прибыл передовой отряд американских морских пехотинцев. Как сообщили в Пентагоне, американские солдаты были направлены на остров по просьбе нового президента Гаити. Его имя пока не названо, однако, по сведениям информагентств, новым лидером Гаити стал председатель Верховного суда страны Бонифас Александр (Boniface Alexandre). В воскресенье он принял обязанности главы государства. Мятеж на Гаити начался в начале февраля, когда противники Аристида захватили контроль над городом Гонаив. Вскоре жители еще 10 городов на севере и западе страны присоединились к мятежникам и двинулись к столице Гаити. В результате столкновений между сторонниками и противниками правительственного режима погибли около 100 человек. В Центрально-Африканской Республике, куда прибыл Аристид, гражданская война закончилась год назад, в середине марта 2003 года. В результате конфликта, продолжавшегося около шести месяцев, мятежники свергли президента страны Анж-Феликса Патассе (Ange-Felix Patasse). Во время гражданской войны тысячи жителей Центрально-Африканской Республики бежали из страны.",prelim_0013,significant,Новый факт: Аристид после бегства прибыл в ЦАР.,False,2004-03-01,Мир,Изгнанный президент Гаити прилетел в Центрально-Африканскую Республику,"Президент Гаити Жан-Бертран Аристид, бежавший из страны в результате вооруженного мятежа, прибыл в Центрально-Африканскую Республику. Через несколько дней он отправится в ЮАР, где ему предоставят политическое убежище, сообщается на сайте газеты Melbourne Herald Sun со ссылкой на агентство AFP. Аристид бежал из Гаити в воскресенье, когда вооруженные формирования повстанцев подошли к столице страны Порт-о-Пренсу. После этого Совет безопасности ООН одобрил резолюцию об отправке на Гаити международного миротворческого контингента. В воскресенье вечером в Порт-о-Пренс прибыл передовой отряд американских морских пехотинцев. Как сообщили в Пентагоне, американские солдаты были направлены на остров по просьбе нового президента Гаити. Его имя пока не названо, однако, по сведениям информагентств, новым лидером Гаити стал председатель Верховного суда страны Бонифас Александр (Boniface Alexandre). В воскресенье он принял обязанности главы государства. Мятеж на Гаити начался в начале февраля, когда противники Аристида захватили контроль над городом Гонаив. Вскоре жители еще 10 городов на севере и западе страны присоединились к мятежникам и двинулись к столице Гаити. В результате столкновений между сторонниками и противниками правительственного режима погибли около 100 человек. В Центрально-Африканской Республике, куда прибыл Аристид, гражданская война закончилась год назад, в середине марта 2003 года. В результате конфликта, продолжавшегося около шести месяцев, мятежники свергли президента страны Анж-Феликса Патассе (Ange-Felix Patasse). Во время гражданской войны тысячи жителей Центрально-Африканской Республики бежали из страны.",baseline_мир_0003,,story_start,False
88643,2004-03-02,Мир,"Жан-Бертран Аристид: ""США вынудили меня бежать из страны""","Бывший президент Гаити Жан-Бертран Аристид заявил, что покинуть страну его вынудили США, сообщает CNN. ""Мне сказали, что нужно покинуть страну, чтобы избежать кровопролития"", - заявил в понедельник вечером Аристид в интервью телеканалу. По его словам, ""военный переворот"" на Гаити устроило американское правительство. Напомним, что в понедельник днем два члена конгресса США заявили, что Аристид был захвачен американскими военнослужащими и насильно вывезен из страны. По их словам, об этом бывший президент Гаити сообщил им в телефонном разговоре. Пресс-секретарь Белого дома Скотт Макклеллан (Scott McClellan) категорически опроверг эту информацию. По его словам, правительство США предприняло необходимые шаги для того, чтобы обеспечить защиту бывшего президента и его семьи после того, как они покинули Гаити. Макклеллан также опроверг появившуюся информацию о том, что американские морские пехотинцы сопровождали Аристида до аэродрома. ""До аэропорта президента сопровождала его собственная охрана, наши военные занимались только обеспечением безопасности посольства"", - заявил пресс-секретарь. В воскресенье Аристид бежал из Гаити, отправившись в Центрально-Африканскую Республику. Ожидается, что через несколько дней он вылетит в ЮАР, где ему предоставят политическое убежище.",prelim_0013,significant,"Новый существенный поворот: Аристид утверждает, что США вынудили его покинуть страну.",False,2004-03-02,Мир,"Жан-Бертран Аристид: ""США вынудили меня бежать из страны""","Бывший президент Гаити Жан-Бертран Аристид заявил, что покинуть страну его вынудили США, сообщает CNN. ""Мне сказали, что нужно покинуть страну, чтобы избежать кровопролития"", - заявил в понедельник вечером Аристид в интервью телеканалу. По его словам, ""военный переворот"" на Гаити устроило американское правительство. Напомним, что в понедельник днем два члена конгресса США заявили, что Аристид был захвачен американскими военнослужащими и насильно вывезен из страны. По их словам, об этом бывший президент Гаити сообщил им в телефонном разговоре. Пресс-секретарь Белого дома Скотт Макклеллан (Scott McClellan) категорически опроверг эту информацию. По его словам, правительство США предприняло необходимые шаги для того, чтобы обеспечить защиту бывшего президента и его семьи после того, как они покинули Гаити. Макклеллан также опроверг появившуюся информацию о том, что американские морские пехотинцы сопровождали Аристида до аэродрома. ""До аэропорта президента сопровождала его собственная охрана, наши военные занимались только обеспечением безопасности посольства"", - заявил пресс-секретарь. В воскресенье Аристид бежал из Гаити, отправившись в Центрально-Африканскую Республику. Ожидается, что через несколько дней он вылетит в ЮАР, где ему предоставят политическое убежище.",baseline_мир_0003,significant,max_prev_sim=0.753; best_prev_news_id=88596; minor_threshold=0.78; duplicate_threshold=0.92,True
88827,2004-03-04,Мир,На родине культа вуду введено чрезвычайное положение,"В карибском островном государстве Гаити введено чрезвычайное положение, сообщает агентство AFP. Об этом объявил в среду премьер-министр страны Ивон Нептун. Причиной этого решения стали непрекращающиеся вооруженные столкновения между сторонниками бывшего президента Аристида и повстанцами. Нептун заявил, что ущерб от вандализма и мародерства уже достиг отметки в 300 миллионов долларов. Премьер-министр также объявил о создании комиссии, которая будет координировать вопросы национальной безопасности, пока не будет сформировано новое правительство Гаити. Напомним, что беспорядки на Гаити начались в первых числах февраля, когда противники Аристида захватили контроль над городом Гонаив. Вскоре жители еще 10 городов на севере и западе страны присоединились к мятежникам и двинулись к столице Гаити городу Порт-о-Пренсу. В результате столкновений между сторонниками и противниками правительственного режима погибли около 100 человек. В воскресенье Аристид бежал из Гаити, отправившись в Центрально-Африканскую Республику. После этого на остров были введены американские и французские миротворцы. В среду на остров прибыла первая часть чилийского воинского контингента. Тем временем, командир американских морских пехотинцев договорился с лидером повстанцев Ги Филиппом о разоружение незаконных вооруженных формирований в обмен на гарантии безопасности. Республика Гаити занимает западную часть одноименного острова. На востоке она граничит с Доминиканской республикой, а на западе неширокий пролив отделяет ее от Кубы. Гаити является одной из самых бедных стран мира. Основную часть населения составляют потомки негров-рабов, вывезенных из Африки для работы на плантациях. Мулаты, среди предков которых были французские колонисты, составляют меньшинство, но занимают ведущие позиции в бизнесе и политике. Между двумя этническими группами продолжают сохранятся напряженные отношения.",prelim_0013,significant,Новый статус внутри сюжета: на Гаити введено чрезвычайное положение.,False,2004-03-04,Мир,На родине культа вуду введено чрезвычайное положение,"В карибском островном государстве Гаити введено чрезвычайное положение, сообщает агентство AFP. Об этом объявил в среду премьер-министр страны Ивон Нептун. Причиной этого решения стали непрекращающиеся вооруженные столкновения между сторонниками бывшего президента Аристида и повстанцами. Нептун заявил, что ущерб от вандализма и мародерства уже достиг отметки в 300 миллионов долларов. Премьер-министр также объявил о создании комиссии, которая будет координировать вопросы национальной безопасности, пока не будет сформировано новое правительство Гаити. Напомним, что беспорядки на Гаити начались в первых числах февраля, когда противники Аристида захватили контроль над городом Гонаив. Вскоре жители еще 10 городов на севере и западе страны присоединились к мятежникам и двинулись к столице Гаити городу Порт-о-Пренсу. В результате столкновений между сторонниками и противниками правительственного режима погибли около 100 человек. В воскресенье Аристид бежал из Гаити, отправившись в Центрально-Африканскую Республику. После этого на остров были введены американские и французские миротворцы. В среду на остров прибыла первая часть чилийского воинского контингента. Тем временем, командир американских морских пехотинцев договорился с лидером повстанцев Ги Филиппом о разоружение незаконных вооруженных формирований в обмен на гарантии безопасности. Республика Гаити занимает западную часть одноименного острова. На востоке она граничит с Доминиканской республикой, а на западе неширокий пролив отделяет ее от Кубы. Гаити является одной из самых бедных стран мира. Основную часть населения составляют потомки негров-рабов, вывезенных из Африки для работы на плантациях. Мулаты, среди предков которых были французские колонисты, составляют меньшинство, но занимают ведущие позиции в бизнесе и политике. Между двумя этническими группами продолжают сохранятся напряженные отношения.",baseline_мир_0014,,story_start; singleton_cluster,False
88851,2004-03-04,Мир,За бывшего президента Гаити вступились соседние страны,"Страны Карибского содружества (Caricom) потребовали провести независимое расследование обстоятельств отстранения от власти президента Гаити Жан-Бертрана Аристида. Как заявили в содружестве, его должны провести авторитетные международные организации, такие как ООН, передает агентство Reuters. В понедельник Аристид, находящийся в Центрально-Африканской Республике, в интервью телеканалу CNN сравнил свое изгнание с похищением, заявив, что покинуть Гаити его вынудили США. Незадолго до интерью Аристида двое американских конгрессменов сообщили, что президент Гаити был захвачен американскими солдатами и насильно вывезен из страны. По словам конгрессменов, об этом им рассказал сам Аристид в телефонном разговоре. Американская адинистрация категорически отрицает обвинения в причастности к изгнанию Аристида. При этом ее представители отмечают, что США предоставили президенту Гаити самолет, на котором он смог покинуть страну. Как утверждает пресс-секретарь Белого дома Скотт Макклеллан (Scott McClellan), США приняли все необходимые меры для того, чтобы обеспечить защиту Аристида и его семьи после бегства. Жан-Бертран Аристид был отстранен от власти в результате вооруженного мятежа, начавшегося около месяца назад. В конце февраля, когда повстанцы подошли к столице Гаити Порт-о-Пренсу, Аристид бежал из страны. По некоторым данным, ему будет предоставлено политической убежище в ЮАР. После изгнания Аристида Совет безопасности ООН принял резолюцию об отправке на Гаити международного миротворческого контингента. На остров уже прибыли американские и французские солдаты. Страны Карибского содружества, куда входит Гаити, отказались от участия в миротворческой операции, пообещав предоставить лишь гуманитарную помощь.",prelim_0013,significant,Новая международная реакция: соседние страны выступили в защиту бывшего президента.,False,2004-03-04,Мир,За бывшего президента Гаити вступились соседние страны,"Страны Карибского содружества (Caricom) потребовали провести независимое расследование обстоятельств отстранения от власти президента Гаити Жан-Бертрана Аристида. Как заявили в содружестве, его должны провести авторитетные международные организации, такие как ООН, передает агентство Reuters. В понедельник Аристид, находящийся в Центрально-Африканской Республике, в интервью телеканалу CNN сравнил свое изгнание с похищением, заявив, что покинуть Гаити его вынудили США. Незадолго до интерью Аристида двое американских конгрессменов сообщили, что президент Гаити был захвачен американскими солдатами и насильно вывезен из страны. По словам конгрессменов, об этом им рассказал сам Аристид в телефонном разговоре. Американская адинистрация категорически отрицает обвинения в причастности к изгнанию Аристида. При этом ее представители отмечают, что США предоставили президенту Гаити самолет, на котором он смог покинуть страну. Как утверждает пресс-секретарь Белого дома Скотт Макклеллан (Scott McClellan), США приняли все необходимые меры для того, чтобы обеспечить защиту Аристида и его семьи после бегства. Жан-Бертран Аристид был отстранен от власти в результате вооруженного мятежа, начавшегося около месяца назад. В конце февраля, когда повстанцы подошли к столице Гаити Порт-о-Пренсу, Аристид бежал из страны. По некоторым данным, ему будет предоставлено политической убежище в ЮАР. После изгнания Аристида Совет безопасности ООН принял резолюцию об отправке на Гаити международного миротворческого контингента. На остров уже прибыли американские и французские солдаты. Страны Карибского содружества, куда входит Гаити, отказались от участия в миротворческой операции, пообещав предоставить лишь гуманитарную помощь.",baseline_мир_0003,significant,max_prev_sim=0.756; best_prev_news_id=88596; minor_threshold=0.78; duplicate_threshold=0.92,True
88572,2004-03-01,Россия,Больше всех на предвыборную кампанию потратил Владимир Путин,"По информации Центризбиркома России, больше всего средств на ведение предвыборной кампании потратил кандидат в президенты Владимир Путин. Сведения о расходах кандидатов на высший государственный пост ЦИК обнародовал 1 марта, опираясь на данные Сбербанка на 25 февраля, передает РИА ""Новости"". Так, согласно сообщению ЦИК, на специальный избирательный счет Владимира Путина поступило 36 миллионов 992 тысячи 100 рублей, из которых 32 миллиона 932 тысячи 361 рубль уже потрачено. Меньше всего средств израсходовал кандидат Николай Харитонов. На его спецсчет поступило 6 миллионов 974 тысячи 920 рублей, из этой суммы израсходовано 2 миллиона 631 тысяча рублей. В избирательный фонд Сергея Глазьева поступило 9 миллионов 201 тысяча 576 рублей, из этой суммы потрачено 6 миллионов 693 тысячи 324 рубля. В избирательный фонд Олега Малышкина поступило ровно 25 миллионов рублей, потрачено уже 20 миллионов 179 тысяч рублей. Что касается Сергея Миронова, в его фонд поступил 31 миллион 800 тысяч рублей, а израсходовано 23 миллиона 695 тысяч. Иван Рыбкин аккумулировал в своем избирательном фонде 11 миллионов 783 тысячи 680 рублей. Из этой суммы израсходовано 3 миллиона 579 тысяч рублей. Ирина Хакамада имеет на своем избирательном счете 25 миллионов 154 тысячи рублей. Большая часть этой суммы - 22 миллиона 179 тысяч рублей - уже потрачена. Как сообщил ЦИК, в избирательные фонды кандидатов на пост президента России поступило в общей сложности 146 миллионов 906 тысяч 401 рубль. Из этих средств на ведение избирательной кампании уже израсходовано 111 миллионов 890 тысяч 947 рублей. По закону максимальная сумма, которая может быть перечислена в избирательный фонд кандидата в президенты, составляет 250 миллионов рублей.",prelim_0036,,,False,2004-03-01,Россия,Больше всех на предвыборную кампанию потратил Владимир Путин,"По информации Центризбиркома России, больше всего средств на ведение предвыборной кампании потратил кандидат в президенты Владимир Путин. Сведения о расходах кандидатов на высший государственный пост ЦИК обнародовал 1 марта, опираясь на данные Сбербанка на 25 февраля, передает РИА ""Новости"". Так, согласно сообщению ЦИК, на специальный избирательный счет Владимира Путина поступило 36 миллионов 992 тысячи 100 рублей, из которых 32 миллиона 932 тысячи 361 рубль уже потрачено. Меньше всего средств израсходовал кандидат Николай Харитонов. На его спецсчет поступило 6 миллионов 974 тысячи 920 рублей, из этой суммы израсходовано 2 миллиона 631 тысяча рублей. В избирательный фонд Сергея Глазьева поступило 9 миллионов 201 тысяча 576 рублей, из этой суммы потрачено 6 миллионов 693 тысячи 324 рубля. В избирательный фонд Олега Малышкина поступило ровно 25 миллионов рублей, потрачено уже 20 миллионов 179 тысяч рублей. Что касается Сергея Миронова, в его фонд поступил 31 миллион 800 тысяч рублей, а израсходовано 23 миллиона 695 тысяч. Иван Рыбкин аккумулировал в своем избирательном фонде 11 миллионов 783 тысячи 680 рублей. Из этой суммы израсходовано 3 миллиона 579 тысяч рублей. Ирина Хакамада имеет на своем избирательном счете 25 миллионов 154 тысячи рублей. Большая часть этой суммы - 22 миллиона 179 тысяч рублей - уже потрачена. Как сообщил ЦИК, в избирательные фонды кандидатов на пост президента России поступило в общей сложности 146 миллионов 906 тысяч 401 рубль. Из этих средств на ведение избирательной кампании уже израсходовано 111 миллионов 890 тысяч 947 рублей. По закону максимальная сумма, которая может быть перечислена в избирательный фонд кандидата в президенты, составляет 250 миллионов рублей.",baseline_россия_0001,,story_start,False
88861,2004-03-05,Россия,Некоторые граждане РФ жертвуют кандидатам в президенты десятки миллионов,"В пятницу Центризбирком РФ обнародовал второй доклад о финансовой отчетности, представленной кандидатами на пост президента РФ. Доклад отражает состояние на 25-27 февраля. Как сообщает ИТАР-ТАСС, самая крупная сумма на этот момент числится в избирательном фонде Ирины Хакамады - 40 миллионов 414 тысяч рублей. Эти средства в основном состоят из добровольных пожертвований некоего гражданина - 27 миллионов 449 тысяч рублей и добровольного пожертвования неназываемого юридического лица на сумму 12 миллионов 250 тысяч рублей. Между тем, отмечается, что Хакамада уже израсходовала на свою предвыборную кампанию 35 милионов 792 тысяч рублей. В избирательный фонд действующего президента Владимира Путина, баллотирующегося на пост главы государства повторно, поступило 36 миллионов 992 тысяч рублей. Из них израсходовано 32 миллиона 932 тысячи. Избирательный фонд кандидата Сергея Миронова составил 31 миллион 800 тысяч рублей. Из них 14 миллионов 300 тысяч рублей выделены ""Российской партией жизни"", от которой миронов выдвинут. 17 миллионов 500 тысяч рублей составляют добровольные пожертвования граждан. Уже израсходованными значатся 24 миллиона 409 тысяч рублей. Кандидат от ЛДПР Олег Малышкин на избирательную кампанию получил 25 миллионов рублей, все средства выделены его партией. Из них уже израсходовано 20 миллионов 179 тысяч рублей. Кандидат Иван Рыбкин получил на свою кампанию 11 миллионов 783 тысяч в качестве добровольного пожертвования от одного гражданина, фамилия которого не фигурирует в отчете. Согласно документам, к отчетному сроку Рыбкин уже израсходовал на свою избирательную кампанию 3 миллионов 580 тысяч рублей. Вместе с тем, как сообщалось, в пятницу объявлено о том, что Рыбкин снял с выборов свою кандидатуру. У кандидата-самовыдвиженца Сергея Глазьева избирательный фонд соситавил 9 миллионов 202 тысячи рублей, причем из них собственные средства кандидата составляют 1 миллион 937 тысяч рублей, а большую часть остальных средств являются пожертвованиями одного гражданина. Глазьев израсходовал 6 миллионов 693 тысячи рублей. Кандидат от КПРФ Николай Харитонов, имеет на избирательном счету 6 миллионов 975 тысяч рублей. Из них чуть более миллиона выделила партия, остальные средства являются добровольными пожертвованиями граждан и юридических лиц. Харитонов потратил в ходе кампании 2 миллиона 632 тысяч рублей. Согласно закону, предельная величина избирательного фонда кандидата в президенты РФ составляет 250 миллионов рублей.",prelim_0036,significant,Новый аспект: крупные частные пожертвования кандидатам.,False,2004-03-05,Россия,Некоторые граждане РФ жертвуют кандидатам в президенты десятки миллионов,"В пятницу Центризбирком РФ обнародовал второй доклад о финансовой отчетности, представленной кандидатами на пост президента РФ. Доклад отражает состояние на 25-27 февраля. Как сообщает ИТАР-ТАСС, самая крупная сумма на этот момент числится в избирательном фонде Ирины Хакамады - 40 миллионов 414 тысяч рублей. Эти средства в основном состоят из добровольных пожертвований некоего гражданина - 27 миллионов 449 тысяч рублей и добровольного пожертвования неназываемого юридического лица на сумму 12 миллионов 250 тысяч рублей. Между тем, отмечается, что Хакамада уже израсходовала на свою предвыборную кампанию 35 милионов 792 тысяч рублей. В избирательный фонд действующего президента Владимира Путина, баллотирующегося на пост главы государства повторно, поступило 36 миллионов 992 тысяч рублей. Из них израсходовано 32 миллиона 932 тысячи. Избирательный фонд кандидата Сергея Миронова составил 31 миллион 800 тысяч рублей. Из них 14 миллионов 300 тысяч рублей выделены ""Российской партией жизни"", от которой миронов выдвинут. 17 миллионов 500 тысяч рублей составляют добровольные пожертвования граждан. Уже израсходованными значатся 24 миллиона 409 тысяч рублей. Кандидат от ЛДПР Олег Малышкин на избирательную кампанию получил 25 миллионов рублей, все средства выделены его партией. Из них уже израсходовано 20 миллионов 179 тысяч рублей. Кандидат Иван Рыбкин получил на свою кампанию 11 миллионов 783 тысяч в качестве добровольного пожертвования от одного гражданина, фамилия которого не фигурирует в отчете. Согласно документам, к отчетному сроку Рыбкин уже израсходовал на свою избирательную кампанию 3 миллионов 580 тысяч рублей. Вместе с тем, как сообщалось, в пятницу объявлено о том, что Рыбкин снял с выборов свою кандидатуру. У кандидата-самовыдвиженца Сергея Глазьева избирательный фонд соситавил 9 миллионов 202 тысячи рублей, причем из них собственные средства кандидата составляют 1 миллион 937 тысяч рублей, а большую часть остальных средств являются пожертвованиями одного гражданина. Глазьев израсходовал 6 миллионов 693 тысячи рублей. Кандидат от КПРФ Николай Харитонов, имеет на избирательном счету 6 миллионов 975 тысяч рублей. Из них чуть более миллиона выделила партия, остальные средства являются добровольными пожертвованиями граждан и юридических лиц. Харитонов потратил в ходе кампании 2 миллиона 632 тысяч рублей. Согласно закону, предельная величина избирательного фонда кандидата в президенты РФ составляет 250 миллионов рублей.",baseline_россия_0001,minor,max_prev_sim=0.818; best_prev_news_id=88572; minor_threshold=0.78; duplicate_threshold=0.92,False
