news_id,published_at_reference,topic_reference,title_reference,text_reference,cluster_id_reference,novelty_label_reference,comment_reference,needs_review_reference,published_at_candidate,topic_candidate,title_candidate,text_candidate,cluster_id_candidate,novelty_label_candidate,comment_candidate,needs_review_candidate
88861,2004-03-05,Россия,Некоторые граждане РФ жертвуют кандидатам в президенты десятки миллионов,"В пятницу Центризбирком РФ обнародовал второй доклад о финансовой отчетности, представленной кандидатами на пост президента РФ. Доклад отражает состояние на 25-27 февраля. Как сообщает ИТАР-ТАСС, самая крупная сумма на этот момент числится в избирательном фонде Ирины Хакамады - 40 миллионов 414 тысяч рублей. Эти средства в основном состоят из добровольных пожертвований некоего гражданина - 27 миллионов 449 тысяч рублей и добровольного пожертвования неназываемого юридического лица на сумму 12 миллионов 250 тысяч рублей. Между тем, отмечается, что Хакамада уже израсходовала на свою предвыборную кампанию 35 милионов 792 тысяч рублей. В избирательный фонд действующего президента Владимира Путина, баллотирующегося на пост главы государства повторно, поступило 36 миллионов 992 тысяч рублей. Из них израсходовано 32 миллиона 932 тысячи. Избирательный фонд кандидата Сергея Миронова составил 31 миллион 800 тысяч рублей. Из них 14 миллионов 300 тысяч рублей выделены ""Российской партией жизни"", от которой миронов выдвинут. 17 миллионов 500 тысяч рублей составляют добровольные пожертвования граждан. Уже израсходованными значатся 24 миллиона 409 тысяч рублей. Кандидат от ЛДПР Олег Малышкин на избирательную кампанию получил 25 миллионов рублей, все средства выделены его партией. Из них уже израсходовано 20 миллионов 179 тысяч рублей. Кандидат Иван Рыбкин получил на свою кампанию 11 миллионов 783 тысяч в качестве добровольного пожертвования от одного гражданина, фамилия которого не фигурирует в отчете. Согласно документам, к отчетному сроку Рыбкин уже израсходовал на свою избирательную кампанию 3 миллионов 580 тысяч рублей. Вместе с тем, как сообщалось, в пятницу объявлено о том, что Рыбкин снял с выборов свою кандидатуру. У кандидата-самовыдвиженца Сергея Глазьева избирательный фонд соситавил 9 миллионов 202 тысячи рублей, причем из них собственные средства кандидата составляют 1 миллион 937 тысяч рублей, а большую часть остальных средств являются пожертвованиями одного гражданина. Глазьев израсходовал 6 миллионов 693 тысячи рублей. Кандидат от КПРФ Николай Харитонов, имеет на избирательном счету 6 миллионов 975 тысяч рублей. Из них чуть более миллиона выделила партия, остальные средства являются добровольными пожертвованиями граждан и юридических лиц. Харитонов потратил в ходе кампании 2 миллиона 632 тысяч рублей. Согласно закону, предельная величина избирательного фонда кандидата в президенты РФ составляет 250 миллионов рублей.",prelim_0036,significant,Новый аспект: крупные частные пожертвования кандидатам.,False,2004-03-05,Россия,Некоторые граждане РФ жертвуют кандидатам в президенты десятки миллионов,"В пятницу Центризбирком РФ обнародовал второй доклад о финансовой отчетности, представленной кандидатами на пост президента РФ. Доклад отражает состояние на 25-27 февраля. Как сообщает ИТАР-ТАСС, самая крупная сумма на этот момент числится в избирательном фонде Ирины Хакамады - 40 миллионов 414 тысяч рублей. Эти средства в основном состоят из добровольных пожертвований некоего гражданина - 27 миллионов 449 тысяч рублей и добровольного пожертвования неназываемого юридического лица на сумму 12 миллионов 250 тысяч рублей. Между тем, отмечается, что Хакамада уже израсходовала на свою предвыборную кампанию 35 милионов 792 тысяч рублей. В избирательный фонд действующего президента Владимира Путина, баллотирующегося на пост главы государства повторно, поступило 36 миллионов 992 тысяч рублей. Из них израсходовано 32 миллиона 932 тысячи. Избирательный фонд кандидата Сергея Миронова составил 31 миллион 800 тысяч рублей. Из них 14 миллионов 300 тысяч рублей выделены ""Российской партией жизни"", от которой миронов выдвинут. 17 миллионов 500 тысяч рублей составляют добровольные пожертвования граждан. Уже израсходованными значатся 24 миллиона 409 тысяч рублей. Кандидат от ЛДПР Олег Малышкин на избирательную кампанию получил 25 миллионов рублей, все средства выделены его партией. Из них уже израсходовано 20 миллионов 179 тысяч рублей. Кандидат Иван Рыбкин получил на свою кампанию 11 миллионов 783 тысяч в качестве добровольного пожертвования от одного гражданина, фамилия которого не фигурирует в отчете. Согласно документам, к отчетному сроку Рыбкин уже израсходовал на свою избирательную кампанию 3 миллионов 580 тысяч рублей. Вместе с тем, как сообщалось, в пятницу объявлено о том, что Рыбкин снял с выборов свою кандидатуру. У кандидата-самовыдвиженца Сергея Глазьева избирательный фонд соситавил 9 миллионов 202 тысячи рублей, причем из них собственные средства кандидата составляют 1 миллион 937 тысяч рублей, а большую часть остальных средств являются пожертвованиями одного гражданина. Глазьев израсходовал 6 миллионов 693 тысячи рублей. Кандидат от КПРФ Николай Харитонов, имеет на избирательном счету 6 миллионов 975 тысяч рублей. Из них чуть более миллиона выделила партия, остальные средства являются добровольными пожертвованиями граждан и юридических лиц. Харитонов потратил в ходе кампании 2 миллиона 632 тысяч рублей. Согласно закону, предельная величина избирательного фонда кандидата в президенты РФ составляет 250 миллионов рублей.",baseline_россия_0001,minor,max_prev_sim=0.818; best_prev_news_id=88572; minor_threshold=0.78; duplicate_threshold=0.92,False
89348,2004-03-12,Россия,Кандидаты в президенты потратили 200 миллионов рублей,"В пятницу Центризбирком РФ обнародовал сведения о поступлении и расходовании средств избирательных фондов кандидатов в президенты РФ. По данным на 10 марта, на счетах избирательных фондов всех кандидатов находилось 237 миллионов 223 тысячи рублей. Расходы составили 203 миллиона 693 тысячи рублей. Больше всех денег потратила Ирина Хакамада. Ее расходы на предвыборную кампанию составили 83 миллиона 508 тысяч рублей, притом, что за период с 27 февраля по 10 марта сумма, которая находилась на ее счетах в Сбербанке увеличилась более чем вдвое - с 40414 тысяч до 96214 тысяч рублей. На втором месте по количеству денег на счету идет избирательный фонд Сергея Миронова. 10 марта у него было 52149 тысяч рублей, а расходы составили 47146 тысяч. В избирательном фонде Владимира Путина 10 марта было 42592 тысячи рублей, а израсходовал он 36104 тысячи. На счетах Олега Малышкина было аккумулировано 25 миллионов рублей, его расходы составили 20 миллионов 87 тысяч рублей. К 10 марта фонд Сергея Глазьева располагал 11433 тысячами рублей, а израсходовано из него было 11378 тысяч. Последним в списке идет избирательный фонд Николая Харитонова, на счетах которого было 9 миллионов 834 тысячи рублей, а расходы составили 5468 тысяч.",prelim_0036,significant,Итоговое обновление по суммарным расходам кандидатов.,False,2004-03-12,Россия,Кандидаты в президенты потратили 200 миллионов рублей,"В пятницу Центризбирком РФ обнародовал сведения о поступлении и расходовании средств избирательных фондов кандидатов в президенты РФ. По данным на 10 марта, на счетах избирательных фондов всех кандидатов находилось 237 миллионов 223 тысячи рублей. Расходы составили 203 миллиона 693 тысячи рублей. Больше всех денег потратила Ирина Хакамада. Ее расходы на предвыборную кампанию составили 83 миллиона 508 тысяч рублей, притом, что за период с 27 февраля по 10 марта сумма, которая находилась на ее счетах в Сбербанке увеличилась более чем вдвое - с 40414 тысяч до 96214 тысяч рублей. На втором месте по количеству денег на счету идет избирательный фонд Сергея Миронова. 10 марта у него было 52149 тысяч рублей, а расходы составили 47146 тысяч. В избирательном фонде Владимира Путина 10 марта было 42592 тысячи рублей, а израсходовал он 36104 тысячи. На счетах Олега Малышкина было аккумулировано 25 миллионов рублей, его расходы составили 20 миллионов 87 тысяч рублей. К 10 марта фонд Сергея Глазьева располагал 11433 тысячами рублей, а израсходовано из него было 11378 тысяч. Последним в списке идет избирательный фонд Николая Харитонова, на счетах которого было 9 миллионов 834 тысячи рублей, а расходы составили 5468 тысяч.",baseline_россия_0001,minor,max_prev_sim=0.871; best_prev_news_id=88572; minor_threshold=0.78; duplicate_threshold=0.92,False
88614,2004-03-01,Россия,Наряд дагестанских пограничников еще раз уничтожил Руслана Гелаева,"Полевой командир Руслан Гелаев, возглавлявший крупный отряд чеченских боевиков, убит в горах Дагестана. Это сообщение информационному агентству РИА ""Новости"" подтвердили в территориальном отделе ""Махачкала"" Северо-Кавказского регионального управления погранслужбы ФСБ. Сообщается, что Гелаев был убит 28 февраля в ходе перестрелки на Аваро-Кахетинской дороге, ведущей из Дагестана в Грузию. По информации, полученной РИА ""Новости"" из источников в погранслужбе, Гелаева уничтожил пограничный наряд в составе двух бойцов. Пограничники тоже погибли в бою. Руслан Гелаев - один из самых известных лидеров чеченских сепаратистов. Генпрокуратура обвиняет его по 14 статьям Уголовного кодекса России, в том числе в убийствах, терактах, посягательстве на жизнь милиционеров и военнослужащих, похищении людей и нападении на ингушское село Галашки в сентябре 2002 года. Гелаев со своим отрядом прорвался туда из Панкисского ущелья Грузии, где, по данным российских военных, скрывался последние годы. По некоторым сведениям, в бою под Галашками Гелаев был тяжело ранен. Информация о гибели Гелаева уже не раз появлялась в СМИ. Так, 10 февраля прокурор Дагестана Имам Яралиев заявил информагентству, что Руслан Гелаев, по всей вероятности, был убит в результате операции федеральных сил и что тело его не нашли до сих пор лишь потому, что оно могло быть закрыто сошедшей снежной лавиной. По мнению Яралиева, тело должно быть найдено в конце апреля - начале мая, с началом интенсивного таяния снегов. Отряд боевиков Гелаева был обнаружен в Цунтинском районе Дагестана 15 декабря 2003 года. Между селами Мокох и Шауры боевики вступили в бой с пограничниками. Тогда боевики убили девять военнослужащих и захватили заложников. Позже они отпустили заложников и попытались скрыться в горах. Там они были блокированы федералами. По сведениям военных, при этом были убиты 36 экстремистов, а еще семь или восемь попали под снежную лавину. А в начале января 2004 года в прокуратуре Дагестана со ссылкой на показания задержанных боевиков сообщили о том, что в столкновениях с федеральными силами Гелаев получил тяжелое ранение. Позднее эту информацию подтвердили в Северо-Кавказском оперативном управлении Главного управления МВД РФ по Южному федеральному округу.",prelim_0044,duplicate,Похоже на повтор/переписывание сообщения о ликвидации Гелаева без принципиально нового развития.,True,2004-03-01,Россия,Наряд дагестанских пограничников еще раз уничтожил Руслана Гелаева,"Полевой командир Руслан Гелаев, возглавлявший крупный отряд чеченских боевиков, убит в горах Дагестана. Это сообщение информационному агентству РИА ""Новости"" подтвердили в территориальном отделе ""Махачкала"" Северо-Кавказского регионального управления погранслужбы ФСБ. Сообщается, что Гелаев был убит 28 февраля в ходе перестрелки на Аваро-Кахетинской дороге, ведущей из Дагестана в Грузию. По информации, полученной РИА ""Новости"" из источников в погранслужбе, Гелаева уничтожил пограничный наряд в составе двух бойцов. Пограничники тоже погибли в бою. Руслан Гелаев - один из самых известных лидеров чеченских сепаратистов. Генпрокуратура обвиняет его по 14 статьям Уголовного кодекса России, в том числе в убийствах, терактах, посягательстве на жизнь милиционеров и военнослужащих, похищении людей и нападении на ингушское село Галашки в сентябре 2002 года. Гелаев со своим отрядом прорвался туда из Панкисского ущелья Грузии, где, по данным российских военных, скрывался последние годы. По некоторым сведениям, в бою под Галашками Гелаев был тяжело ранен. Информация о гибели Гелаева уже не раз появлялась в СМИ. Так, 10 февраля прокурор Дагестана Имам Яралиев заявил информагентству, что Руслан Гелаев, по всей вероятности, был убит в результате операции федеральных сил и что тело его не нашли до сих пор лишь потому, что оно могло быть закрыто сошедшей снежной лавиной. По мнению Яралиева, тело должно быть найдено в конце апреля - начале мая, с началом интенсивного таяния снегов. Отряд боевиков Гелаева был обнаружен в Цунтинском районе Дагестана 15 декабря 2003 года. Между селами Мокох и Шауры боевики вступили в бой с пограничниками. Тогда боевики убили девять военнослужащих и захватили заложников. Позже они отпустили заложников и попытались скрыться в горах. Там они были блокированы федералами. По сведениям военных, при этом были убиты 36 экстремистов, а еще семь или восемь попали под снежную лавину. А в начале января 2004 года в прокуратуре Дагестана со ссылкой на показания задержанных боевиков сообщили о том, что в столкновениях с федеральными силами Гелаев получил тяжелое ранение. Позднее эту информацию подтвердили в Северо-Кавказском оперативном управлении Главного управления МВД РФ по Южному федеральному округу.",baseline_россия_0004,minor,max_prev_sim=0.786; best_prev_news_id=88599; minor_threshold=0.78; duplicate_threshold=0.92,True
88662,2004-03-02,Россия,ФСБ опознала Гелаева по особому кинжалу,"ФСБ России официально подтвердила ликвидацию чеченского полевого командира Руслана Гелаева в горах Дагестана, передает ИТАР-ТАСС. Как заявил информагентству начальник ЦОС ФСБ Сергей Игнатченко, Гелаев был убит 28 февраля в Цунтинском районе республики. ""В течение последних суток в Махачкале была проведена процедура по идентификации личности убитого"", - сказал Игнатченко. Ранее гибель Гелаева подтвердили задержанные боевики из его отряда. Он был опознан ""по характеру ранения на ноге, личным вещам - по особому кинжалу, с которым Гелаев никогда не раставался"", - отметил Игнатченко. По данным Северо-Кавказского регионального управления погранслужбы ФСБ, Гелаев был убит в перестрелке с пограничным нарядом на Аваро-Кахетинской дороге, ведущей в Грузию. Его труп в камуфляже был найден в 100 метрах от места боя, в котором погибли двое пограничников-контрактников Хунзахского отряда. В декабре 2003 года отряд Гелаева численностью около 60 человек проник из Чечни в Дагестан. В течение нескольких дней боевики отдыхали и запасались провизией в селе Шаури, а потом их разведдозор, в составе которого был и Гелаев, случайно вышел к погранзаставе. В ходе боя погибли девять пограничников. После расстрела военнослужащих против банды Гелаева началась широкомасштабная войсковая операция с привлечением артиллерии, авиации и бронетехники. Разделившись на отряды, боевики почти месяц скрывались в дагестанских горах. Восемь бандитов из ближайшего окружения Гелаева попали в плен. Подробности гибели Гелаева описывает газета ""Коммерсант"" в материале, опубликованном во вторник. По данным издания, некоторое время полевой командир отсиживался в пастушьей кошаре неподалеку от села Шаури. 28 февраля хозяин кошары вывез Гелаева на ""уазике"" в низовья ущелья Чаеха, идущего от села Бежты в Панкисское ущелье. Гелаев попытался уйти через перевалы на свою основную базу в Грузии, однако был остановлен двумя пограничниками - Абдулхаликом Курбановым и Мухтаром Сулеймановым. ""Взлохмаченная борода, черные тренировочные штаны ""Адидас"" с вытянутыми коленками, потертая куртка-аляска, резиновые сапоги до колен и вязаная шапочка делали его похожим скорее на бомжа, чем на грозного полевого командира"", - пишет газета. Гелаев почти в упор расстрелял военнослужащих из короткоствольного автомата Калашникова. Пулей, попавшей в голову, рядовой Сулейманов был убит на месте. Курбанов, раненный в грудь, успел выстрелить в ответ. Его пули раздробили левый локоть Гелаева и практически оторвали руку. Тем не менее, боевик добил Курбанова выстрелами в голову. После этого он пробежал около пятидесяти метров, остановился, отрезал левую руку и бросил ее на снег вместе с ножом. Затем достал из полевой аптечки резиновый жгут, наложил его на кровоточащую культю. Последние метры в сторону границы Грузии полевой командир полз на четвереньках. Он так и умер в этой позе со сжатой в кулаке шоколадкой. Его труп нашли милиционеры, отправившиеся на розыски не дошедших до родного села пограничников. Кроме шоколада и кофе в вещах Гелаева нашли кусок вяленого бараньего сала, 200 долларов, упаковку вермишели ""Роллтон"", записную книжку с длинным списком номеров мобильных телефонов и карту Цунтинского района Дагестана, на которой был отмечен путь его группировки в декабре прошлого года.",prelim_0044,significant,Новый факт: ФСБ сообщает об идентификации по особому кинжалу.,False,2004-03-02,Россия,ФСБ опознала Гелаева по особому кинжалу,"ФСБ России официально подтвердила ликвидацию чеченского полевого командира Руслана Гелаева в горах Дагестана, передает ИТАР-ТАСС. Как заявил информагентству начальник ЦОС ФСБ Сергей Игнатченко, Гелаев был убит 28 февраля в Цунтинском районе республики. ""В течение последних суток в Махачкале была проведена процедура по идентификации личности убитого"", - сказал Игнатченко. Ранее гибель Гелаева подтвердили задержанные боевики из его отряда. Он был опознан ""по характеру ранения на ноге, личным вещам - по особому кинжалу, с которым Гелаев никогда не раставался"", - отметил Игнатченко. По данным Северо-Кавказского регионального управления погранслужбы ФСБ, Гелаев был убит в перестрелке с пограничным нарядом на Аваро-Кахетинской дороге, ведущей в Грузию. Его труп в камуфляже был найден в 100 метрах от места боя, в котором погибли двое пограничников-контрактников Хунзахского отряда. В декабре 2003 года отряд Гелаева численностью около 60 человек проник из Чечни в Дагестан. В течение нескольких дней боевики отдыхали и запасались провизией в селе Шаури, а потом их разведдозор, в составе которого был и Гелаев, случайно вышел к погранзаставе. В ходе боя погибли девять пограничников. После расстрела военнослужащих против банды Гелаева началась широкомасштабная войсковая операция с привлечением артиллерии, авиации и бронетехники. Разделившись на отряды, боевики почти месяц скрывались в дагестанских горах. Восемь бандитов из ближайшего окружения Гелаева попали в плен. Подробности гибели Гелаева описывает газета ""Коммерсант"" в материале, опубликованном во вторник. По данным издания, некоторое время полевой командир отсиживался в пастушьей кошаре неподалеку от села Шаури. 28 февраля хозяин кошары вывез Гелаева на ""уазике"" в низовья ущелья Чаеха, идущего от села Бежты в Панкисское ущелье. Гелаев попытался уйти через перевалы на свою основную базу в Грузии, однако был остановлен двумя пограничниками - Абдулхаликом Курбановым и Мухтаром Сулеймановым. ""Взлохмаченная борода, черные тренировочные штаны ""Адидас"" с вытянутыми коленками, потертая куртка-аляска, резиновые сапоги до колен и вязаная шапочка делали его похожим скорее на бомжа, чем на грозного полевого командира"", - пишет газета. Гелаев почти в упор расстрелял военнослужащих из короткоствольного автомата Калашникова. Пулей, попавшей в голову, рядовой Сулейманов был убит на месте. Курбанов, раненный в грудь, успел выстрелить в ответ. Его пули раздробили левый локоть Гелаева и практически оторвали руку. Тем не менее, боевик добил Курбанова выстрелами в голову. После этого он пробежал около пятидесяти метров, остановился, отрезал левую руку и бросил ее на снег вместе с ножом. Затем достал из полевой аптечки резиновый жгут, наложил его на кровоточащую культю. Последние метры в сторону границы Грузии полевой командир полз на четвереньках. Он так и умер в этой позе со сжатой в кулаке шоколадкой. Его труп нашли милиционеры, отправившиеся на розыски не дошедших до родного села пограничников. Кроме шоколада и кофе в вещах Гелаева нашли кусок вяленого бараньего сала, 200 долларов, упаковку вермишели ""Роллтон"", записную книжку с длинным списком номеров мобильных телефонов и карту Цунтинского района Дагестана, на которой был отмечен путь его группировки в декабре прошлого года.",baseline_россия_0004,minor,max_prev_sim=0.904; best_prev_news_id=88599; minor_threshold=0.78; duplicate_threshold=0.92,True
88715,2004-03-03,Россия,Уничтожившие Гелаева пограничники представлены к наградам,"К правительственным наградам представлены пограничники старшина Мухтар Сулейменов и старший сержант Абдулхалик Курбанов, уничтожившие Руслана Гелаева. Об этом информационному агентству ИТАР-ТАСС сообщили в пресс-службе Северо-Кавказского регионального погрануправления ФСБ РФ. Оба пограничника погибли в перестрелке с Гелаевым, но успели смертельно ранить полевого командира, пытавшегося уйти через границу в Грузию. Руслан Гелаев был убит 28 февраля близ границы в Цунтинском районе Дагестана. Он пытался уйти через перевалы на свою базу в Грузии, но был остановлен пограничниками. Как сообщила ежедневная газета ""Коммерсант"", Гелаев выстрелом в голову убил Сулейманова. Курбанов, раненный в грудь, успел тяжело ранить полевого командира. Тот добил пограничника, но потом сам скончался от потери крови. Его труп нашли милиционеры, отправившиеся на розыски пограничников. Факт гибели Руслана Гелаева подтвердили боевики из его отряда - на теле был обнаружен такой же, как у Гелаева, след ранения на ноге, а при себе у умершего был особый кинжал, с которым Гелаев никогда не расставался. Кроме того, 1 марта в Махачкале была проведена экспертиза, подтвердившая слова боевиков. По данным информагентства, оба пограничника - уроженцы Цунтинского района Дагестана. В погранвойсках они служили по контракту. Церемония прощания с погибшими прошла 2 марта в охраняющем дагестанское направление российско-грузинской государственной границы Хунзахском погранотряде. Они похоронены в родном Цунтинском районе республики с воинскими почестями.",prelim_0044,significant,Новое последствие события: пограничники представлены к наградам.,False,2004-03-03,Россия,Уничтожившие Гелаева пограничники представлены к наградам,"К правительственным наградам представлены пограничники старшина Мухтар Сулейменов и старший сержант Абдулхалик Курбанов, уничтожившие Руслана Гелаева. Об этом информационному агентству ИТАР-ТАСС сообщили в пресс-службе Северо-Кавказского регионального погрануправления ФСБ РФ. Оба пограничника погибли в перестрелке с Гелаевым, но успели смертельно ранить полевого командира, пытавшегося уйти через границу в Грузию. Руслан Гелаев был убит 28 февраля близ границы в Цунтинском районе Дагестана. Он пытался уйти через перевалы на свою базу в Грузии, но был остановлен пограничниками. Как сообщила ежедневная газета ""Коммерсант"", Гелаев выстрелом в голову убил Сулейманова. Курбанов, раненный в грудь, успел тяжело ранить полевого командира. Тот добил пограничника, но потом сам скончался от потери крови. Его труп нашли милиционеры, отправившиеся на розыски пограничников. Факт гибели Руслана Гелаева подтвердили боевики из его отряда - на теле был обнаружен такой же, как у Гелаева, след ранения на ноге, а при себе у умершего был особый кинжал, с которым Гелаев никогда не расставался. Кроме того, 1 марта в Махачкале была проведена экспертиза, подтвердившая слова боевиков. По данным информагентства, оба пограничника - уроженцы Цунтинского района Дагестана. В погранвойсках они служили по контракту. Церемония прощания с погибшими прошла 2 марта в охраняющем дагестанское направление российско-грузинской государственной границы Хунзахском погранотряде. Они похоронены в родном Цунтинском районе республики с воинскими почестями.",baseline_россия_0004,minor,max_prev_sim=0.832; best_prev_news_id=88614; minor_threshold=0.78; duplicate_threshold=0.92,False
89045,2004-03-08,Мир,Opportunity не смог просверлить марсианский камень,"Марсоход Opportunity не смог просверлить отверстие в марсианском камне, сообщает Associated Press. Аппарат попытался продолжить серию экспериментов, в результате которых 2 марта ему удалось обнаружить следы воздействия воды в одном из марсианских камней. Однако в воскресенье ему не удалось просверлить один из камней обнажения скальных пород в районе, который NASA называет El Capitan. В понедельник ученые собирались протестировать оборудование марсохода, а в течение этой недели повторить попытку исследования камня. Это обнажение было названо Flat Rock. Ученые при помощи мини-лаборатории Opportunity собираются исследовать химический состав породы Flat Rock. В воскресенье на другой стороне Марса второй марсоход Spirit совершил несколько маневров, объезжая препятствия на пути к впадине, которую назвали Bonneville Crater. В конце прошлой недели Spirit также преуспел в исследовании камня, который назвали Humphrey. Марсоход сумел рассверлить его, и установить, что в Humphrey также существуют пустоты, которые образовались вследствие воздействия воды. Кроме того, марсоход нашел в этих пустотах отложения минералов, которые могут образовываться только в присутствии воды. Эти открытия позволили ученым объявить о том, что миссии Opportunity и Spirit закончились успешно. ""Одной из наиболее важных задач, которые мы преследовали, отправляя на Марс роботов Opportunity и Spirit, был поиск хотя бы на одном участке планеты признаков того, что там кода-то существовала влажная среда, пригодная для зарождения жизни. Теперь у нас есть убедительные доказательства, что такая среда на Марсе действительно была"", - сказал Джеймс Гарвин (James Garvin), один из участников проекта.",prelim_0068,significant,Новое операционное развитие: Opportunity не смог просверлить камень.,False,2004-03-08,Мир,Opportunity не смог просверлить марсианский камень,"Марсоход Opportunity не смог просверлить отверстие в марсианском камне, сообщает Associated Press. Аппарат попытался продолжить серию экспериментов, в результате которых 2 марта ему удалось обнаружить следы воздействия воды в одном из марсианских камней. Однако в воскресенье ему не удалось просверлить один из камней обнажения скальных пород в районе, который NASA называет El Capitan. В понедельник ученые собирались протестировать оборудование марсохода, а в течение этой недели повторить попытку исследования камня. Это обнажение было названо Flat Rock. Ученые при помощи мини-лаборатории Opportunity собираются исследовать химический состав породы Flat Rock. В воскресенье на другой стороне Марса второй марсоход Spirit совершил несколько маневров, объезжая препятствия на пути к впадине, которую назвали Bonneville Crater. В конце прошлой недели Spirit также преуспел в исследовании камня, который назвали Humphrey. Марсоход сумел рассверлить его, и установить, что в Humphrey также существуют пустоты, которые образовались вследствие воздействия воды. Кроме того, марсоход нашел в этих пустотах отложения минералов, которые могут образовываться только в присутствии воды. Эти открытия позволили ученым объявить о том, что миссии Opportunity и Spirit закончились успешно. ""Одной из наиболее важных задач, которые мы преследовали, отправляя на Марс роботов Opportunity и Spirit, был поиск хотя бы на одном участке планеты признаков того, что там кода-то существовала влажная среда, пригодная для зарождения жизни. Теперь у нас есть убедительные доказательства, что такая среда на Марсе действительно была"", - сказал Джеймс Гарвин (James Garvin), один из участников проекта.",baseline_мир_0006,minor,max_prev_sim=0.872; best_prev_news_id=88642; minor_threshold=0.78; duplicate_threshold=0.92,False
